name,address,city,state,postal_code
"Taqueria Don Pancho","6710 W Indian School Rd",Phoenix,AZ,85033
"Burrito Bandito","18631 N 19th Ave, Ste 100",Phoenix,AZ,85027
"Souper Salad","10005 N Metro Pkwy",Phoenix,AZ,85051
"Press Coffee Food & Wine","Terminal 4 Gate B9",Phoenix,AZ,85034
"Hookmeup Gourmet Sandwiches","15425 S 48th St, Ste 116",Phoenix,AZ,85044
"The Brickhouse","1 E Jackson St",Phoenix,AZ,85004
"Five Guys","2641 N 44th St, Ste 100",Phoenix,AZ,85008
"Taqueria Yaqui","3516 E McDowell Rd",Phoenix,AZ,85008
"Indian Delhi Palace","5104 East McDowell Rd",Phoenix,AZ,85008
"Muffin But The Best Cafe","15414 N 19th Ave, Ste C",Phoenix,AZ,85023
KFC,"2436 East Indian School Road",Phoenix,AZ,85016
"Yo Mama's Good Cook'n","5037 S 24th St",Phoenix,AZ,85040
"Sandra Dee's Catering,LLC","344 N Gilbert Rd",Phoenix,AZ,85234
"OHSO Brewery - Paradise Valley","10810 N Tatum Blvd, Ste 126",Phoenix,AZ,85028
Gretalian,"5341 N 7th Ave",Phoenix,AZ,85013
"Circle K","8955 N 19th Ave",Phoenix,AZ,85021
"Province Urban Kitchen & Bar","333 N Central Ave",Phoenix,AZ,85004
"Little Caesars","3434 W Greenway Rd, Unit 128",Phoenix,AZ,85053
"The Prime Chinese Restaurant","24 W Camelback Rd, Ste H",Phoenix,AZ,85013
"Oven + Vine","14 W Vernon Ave",Phoenix,AZ,85003
"D'licious Dishes","5345 N 7th Ave",Phoenix,AZ,85013
"Press Coffee","1616 N Central Ave, Ste 102",Phoenix,AZ,85004
Starbucks,"4605 E Chandler Blvd, Ste A",Phoenix,AZ,85048
QuikTrip,"2836 N 27th Ave",Phoenix,AZ,85009
"Jack In the Box","8225 W Camelback Rd",Phoenix,AZ,85033
"Nobuo At Teeter House","622 E Adams St",Phoenix,AZ,85004
"Sophie's French Bistro","2320 E Osborn Rd",Phoenix,AZ,85016
"Luci's at the Orchard","7100 N 12th St, Bldg Two",Phoenix,AZ,85020
"Hi-Health Supermart - Deer Valley Center","4261 W Thunderbird Rd",Phoenix,AZ,85023
"Ric's Smokehouse BBQ & Grill","1930 W Pinnacle Peak Rd, Ste 119",Phoenix,AZ,85027
twenty6,"JW Marriott Desert Ridge, 5350 E. Marriott Drive",Phoenix,AZ,85054
"Humble Pie","3964 E Sky Harbor Blvd",Phoenix,AZ,85034
McDonald's,"3323 N 24th St",Phoenix,AZ,85016
"Golden China","10720 W Indian School Rd",Phoenix,AZ,85037
"Sam's Cafe","2566 E Camelback Rd, Ste 201",Phoenix,AZ,85016
"Tropical Smoothie Cafe","2815 W Peoria Ave, Ste 116",Phoenix,AZ,85029
Sunfare,"811 W Deer Valley Rd",Phoenix,AZ,85027
"Poki Bar Central","2836 E Indian School Rd, Ste A-1",Phoenix,AZ,85016
"Athens Pita & Greek Grill","3 S 2nd St, Ste 107",Phoenix,AZ,85004
"MATCH Restaurant & Cocktails","1100 N Central Ave",Phoenix,AZ,85003
"Cornish Pasty Company","7 W Monroe St",Phoenix,AZ,85003
"One Stop Nutrition","4115 N 44th St",Phoenix,AZ,85018
"Taco Bell","3517 W Glendale Ave",Phoenix,AZ,85051
Wingettes,"15840 N 32nd  St",Phoenix,AZ,85032
"King Gyros","4243 W Thunderbird Rd",Phoenix,AZ,85053
"Sassy Cakes By Nina","5810 N 16th St",Phoenix,AZ,85016
"Sprouts Farmers Market","245 E Bell Rd, Ste 15",Phoenix,AZ,85022
"Nino's Greek Cafe","3102 N 16th St",Phoenix,AZ,85016
"Pastries N Chaat","3539 West Bell Rd",Phoenix,AZ,85053
"Domino's Pizza","1850 W Indian School Rd",Phoenix,AZ,85015
"De La Ana European Delicatessen Store","7828 N 19th Ave, Ste 5",Phoenix,AZ,85021
"Pasteles Mary","8847 N 7th Ave, Ste 5",Phoenix,AZ,85021
"Humble Pie","21050 N Tatum Blvd",Phoenix,AZ,85050
"The Willow House","1722 W Van Buren St",Phoenix,AZ,85007
"Plaza Bonita","2815 W Carefree Hwy",Phoenix,AZ,85085
"Zesty Zzeeks Pizza and Wings","4825 E Warner Rd",Phoenix,AZ,85044
"Black Angus Steakhouse","10021 Metro Pkwy E",Phoenix,AZ,85051
"Koreana BBQ","4550 E Cactus Rd",Phoenix,AZ,85032
Frys,"2626 S 83rd Ave",Phoenix,AZ,85043
"Loose Leaf Tea Market","4773 N 20th St",Phoenix,AZ,85016
"Ewn's 2","2010 E Broadway Rd",Phoenix,AZ,85040
"Harley's Italian Bistro","4221 N 7th Ave",Phoenix,AZ,85013
"Thai Delight","4645 E Chandler Blvd, Ste 106",Phoenix,AZ,85048
"The Steamed Tamale","1750 W Van Buren St",Phoenix,AZ,85007
"Veterinary Neurological Center","4202 E Raymond St",Phoenix,AZ,85040
Sinaloa,"2601 E Bell Rd",Phoenix,AZ,85032
"Oscar's Pizza","21043 N Cave Creek Rd",Phoenix,AZ,85024
Arby's,"119 E Baseline Rd",Phoenix,AZ,85042
Smashburger,"3400 E Sky Harbor Blvd",Phoenix,AZ,85034
"Arizona Microgreens","3146 E Wier Ave",Phoenix,AZ,85040
"Cafe 1010","1010 W Washington St",Phoenix,AZ,85007
"Taco Bell","2660 W Thunderbird Rd",Phoenix,AZ,85023
"MAD Greens - Central Ave & Camelback","5120 North Central Ave, Ste 2",Phoenix,AZ,85012
7-Eleven,"3201 E Shea Blvd",Phoenix,AZ,85028
Subway,"1855 W Greenway Rd, Ste 125",Phoenix,AZ,85023
"Circle K","309 E Osborn Rd",Phoenix,AZ,85012
"Salute Ristorante Italiano","13226 N 7th St",Phoenix,AZ,85022
"Q Up Barbeque",,Phoenix,AZ,85005
"Azool Grill","3134 W Carefree Hwy",Phoenix,AZ,85086
Walgreens,"3434 W Southern Ave",Phoenix,AZ,85041
