,id,menu_item,rec_rating
71,AECN4Vg8mQJ8enFrnoZtqQ,Onion Rings,0.0
72,AECN4Vg8mQJ8enFrnoZtqQ,Stuffed Jalapenos,0.0
73,AECN4Vg8mQJ8enFrnoZtqQ,Egg Rolls,0.0
74,AECN4Vg8mQJ8enFrnoZtqQ,Mozzarella Cheese Sticks,0.0
75,AECN4Vg8mQJ8enFrnoZtqQ,Bacon Cheddar Potato Wedges.,0.0
76,AECN4Vg8mQJ8enFrnoZtqQ,Mini Cookies,0.0
77,AECN4Vg8mQJ8enFrnoZtqQ,Root Beer Float,0.0
78,AECN4Vg8mQJ8enFrnoZtqQ,Egg Nog Ice Cream Shake,2.7523384353741496
79,AECN4Vg8mQJ8enFrnoZtqQ,Pumpkin Pie Ice Cream Shake,2.7523384353741496
80,AECN4Vg8mQJ8enFrnoZtqQ,Mini Churros,0.0
81,AECN4Vg8mQJ8enFrnoZtqQ,Ny Style Cheesecake,2.7523384353741496
82,AECN4Vg8mQJ8enFrnoZtqQ,Chocolate Overload Cake,0.7210884353741497
83,AECN4Vg8mQJ8enFrnoZtqQ,Oreo Cookie Ice Cream Shake,2.7523384353741496
84,AECN4Vg8mQJ8enFrnoZtqQ,Strawberry Ice Cream Shake,2.7523384353741496
85,AECN4Vg8mQJ8enFrnoZtqQ,Chocolate Ice Cream Shake,2.7523384353741496
86,AECN4Vg8mQJ8enFrnoZtqQ,Vanilla Ice Cream Shake,2.7523384353741496
87,AECN4Vg8mQJ8enFrnoZtqQ,Root Beer Float,0.0
88,AECN4Vg8mQJ8enFrnoZtqQ,Oreo Cookie Ice Cream Shake,2.7523384353741496
89,AECN4Vg8mQJ8enFrnoZtqQ,Strawberry Ice Cream Shake,2.7523384353741496
90,AECN4Vg8mQJ8enFrnoZtqQ,Chocolate Ice Cream Shake,2.7523384353741496
91,AECN4Vg8mQJ8enFrnoZtqQ,Vanilla Ice Cream Shake,2.7523384353741496
92,AECN4Vg8mQJ8enFrnoZtqQ,Diet Dr. Pepper,0.0
93,AECN4Vg8mQJ8enFrnoZtqQ,Hi - C Fruit Punch,4.963027919501134
94,AECN4Vg8mQJ8enFrnoZtqQ,Fresh Brewed Iced Tea,2.605530753968254
95,AECN4Vg8mQJ8enFrnoZtqQ,Raspberry Flavored Iced Tea (24 Oz.),0.0
96,AECN4Vg8mQJ8enFrnoZtqQ,Mango Flavored Iced Tea (24 Oz.),0.0
97,AECN4Vg8mQJ8enFrnoZtqQ,Peach Flavored Iced Tea (24 Oz.),0.0
98,AECN4Vg8mQJ8enFrnoZtqQ,Mango Smoothie,0.0
99,AECN4Vg8mQJ8enFrnoZtqQ,Strawberry Banana Smoothie,0.0
100,AECN4Vg8mQJ8enFrnoZtqQ,Strawberr Smoothie,0.0
101,AECN4Vg8mQJ8enFrnoZtqQ,Kona Classic Coffee,0.0
102,AECN4Vg8mQJ8enFrnoZtqQ,Caramel Iced Coffee,0.0
103,AECN4Vg8mQJ8enFrnoZtqQ,Original Iced Coffee,0.0
104,AECN4Vg8mQJ8enFrnoZtqQ,Vanilla Iced Coffee,0.0
105,AECN4Vg8mQJ8enFrnoZtqQ,Barq's Root Beer,0.0
106,AECN4Vg8mQJ8enFrnoZtqQ,Coca Cola Classic,0.7210884353741497
107,AECN4Vg8mQJ8enFrnoZtqQ,Diet Coke,0.0
108,AECN4Vg8mQJ8enFrnoZtqQ,Bottled Water (16.9 Oz.),0.0
109,AECN4Vg8mQJ8enFrnoZtqQ,Dr. Pepper,0.0
110,AECN4Vg8mQJ8enFrnoZtqQ,Fanta Orange,0.0
111,AECN4Vg8mQJ8enFrnoZtqQ,Fanta Strawberry,0.0
112,AECN4Vg8mQJ8enFrnoZtqQ,Minute Maid Lemonade,0.0
113,AECN4Vg8mQJ8enFrnoZtqQ,Orange Juice (10 Oz.),0.0
114,AECN4Vg8mQJ8enFrnoZtqQ,Chocolate Low Fat Milk Chug (1%),0.7210884353741497
115,AECN4Vg8mQJ8enFrnoZtqQ,Reduced Fat Milk Chug (2%),0.0
116,AECN4Vg8mQJ8enFrnoZtqQ,Sprite,0.0
117,825nC-s-cQG6Hsul5Gm2cA,Salad No Meat,927.8666283819347
118,825nC-s-cQG6Hsul5Gm2cA,Poaf Salad,243.35947389942535
119,825nC-s-cQG6Hsul5Gm2cA,Pulled Pork,824.3440527692474
120,825nC-s-cQG6Hsul5Gm2cA,Beef Brisket,496.06860595228324
121,825nC-s-cQG6Hsul5Gm2cA,Polish Dogs by the Pound,1294.1562875069587
122,825nC-s-cQG6Hsul5Gm2cA,Pulled Chicken,538.5165011051041
123,825nC-s-cQG6Hsul5Gm2cA,Smokin Sampler Meal,252.79272831710787
124,825nC-s-cQG6Hsul5Gm2cA,Smoked Sausage Meal,311.9102295604285
125,825nC-s-cQG6Hsul5Gm2cA,Smoked Chicken Sandwich Meal,568.5331916421849
126,825nC-s-cQG6Hsul5Gm2cA,Pulled Pork Sandwich Meal,806.9544931773135
127,825nC-s-cQG6Hsul5Gm2cA,Beef Brisket Sandwich Meal,694.3519239296485
128,825nC-s-cQG6Hsul5Gm2cA,Burrito,57.10575528172376
129,825nC-s-cQG6Hsul5Gm2cA,Midwest Monster Meal,229.71219202452784
130,825nC-s-cQG6Hsul5Gm2cA,Mini Midwest Monster Meal,246.98884922149756
131,825nC-s-cQG6Hsul5Gm2cA,Ribs,344.33382447247646
132,825nC-s-cQG6Hsul5Gm2cA,Taco Friday,37.13255586323756
133,825nC-s-cQG6Hsul5Gm2cA,Family Feast Meal,196.67855292906896
134,825nC-s-cQG6Hsul5Gm2cA,Family Feast Meal (Xl),196.67855292906896
135,825nC-s-cQG6Hsul5Gm2cA,Whole Smoked Chicken Meal w/ 2 Sides,617.1600209239668
136,825nC-s-cQG6Hsul5Gm2cA,Whole Smoked Chicken,296.6015793571059
137,825nC-s-cQG6Hsul5Gm2cA,8oz Baked Beans,316.4629291316115
138,825nC-s-cQG6Hsul5Gm2cA,8oz Coleslaw,99.04993304870887
139,825nC-s-cQG6Hsul5Gm2cA,8oz Cornbread = 2,232.52210208453974
140,825nC-s-cQG6Hsul5Gm2cA,8oz Macaroni & Cheese,456.5108781860145
141,825nC-s-cQG6Hsul5Gm2cA,8oz Macaroni Salad,183.37701042807976
142,825nC-s-cQG6Hsul5Gm2cA,8oz Potato Salad,257.9560617462752
143,825nC-s-cQG6Hsul5Gm2cA,16 oz. Baked Beans,316.97537126124115
144,825nC-s-cQG6Hsul5Gm2cA,16 oz. Coleslaw,100.70604208242206
145,825nC-s-cQG6Hsul5Gm2cA,16oz Cornbreads = 4,140.0828922605422
146,825nC-s-cQG6Hsul5Gm2cA,16oz Mac N Cheese,1341.0791390694587
147,825nC-s-cQG6Hsul5Gm2cA,16oz Macaroni Salad,183.37701042807976
148,825nC-s-cQG6Hsul5Gm2cA,16oz Potato Salad,257.9560617462752
149,825nC-s-cQG6Hsul5Gm2cA,32oz Baked Beans,316.4629291316115
150,825nC-s-cQG6Hsul5Gm2cA,32oz Coleslaw,99.04993304870887
151,825nC-s-cQG6Hsul5Gm2cA,32oz Cornbreads = 8,44.780500587619315
152,825nC-s-cQG6Hsul5Gm2cA,32oz Macaroni & Cheese,456.5108781860145
153,825nC-s-cQG6Hsul5Gm2cA,32oz Macaroni Salad,183.37701042807976
154,825nC-s-cQG6Hsul5Gm2cA,32oz Potato Salad,257.9560617462752
155,825nC-s-cQG6Hsul5Gm2cA,Full Chaffing Baked Beans,370.8652976407835
156,825nC-s-cQG6Hsul5Gm2cA,Full Chaffing Coleslaw,188.6749377776776
157,825nC-s-cQG6Hsul5Gm2cA,Full Chaffing Cornbreads = 50,126.96370085147869
158,825nC-s-cQG6Hsul5Gm2cA,Full Chaffing Mac N Cheese,1341.0791390694587
159,825nC-s-cQG6Hsul5Gm2cA,Full Chaffing Macaroni Salad,271.45742274425083
160,825nC-s-cQG6Hsul5Gm2cA,Full Chaffing Potato Salad,329.45433663895034
161,825nC-s-cQG6Hsul5Gm2cA,1 / 2 Chaffing Cornbreads = 24,333.9023416139885
162,825nC-s-cQG6Hsul5Gm2cA,1 / 2 Chaffing Mac N Cheese,1341.0791390694587
163,825nC-s-cQG6Hsul5Gm2cA,1 / 2 Chaffing Baked Beans,521.0118392595061
164,825nC-s-cQG6Hsul5Gm2cA,1 / 2 Chaffing Coleslaw,394.9645459542766
165,825nC-s-cQG6Hsul5Gm2cA,1 / 2 Chaffing Macaroni Salad,449.6200098334674
166,825nC-s-cQG6Hsul5Gm2cA,1 / 2 Chaffing Potato Salad,497.370183660669
167,825nC-s-cQG6Hsul5Gm2cA,Beef Slider,100.01990887804183
168,825nC-s-cQG6Hsul5Gm2cA,Pork Slider,706.5495359542743
169,825nC-s-cQG6Hsul5Gm2cA,Chicken Slider,179.9883702062983
170,825nC-s-cQG6Hsul5Gm2cA,Chicken Strips Meal,268.4179854256627
171,825nC-s-cQG6Hsul5Gm2cA,Kids Chicken Slider,202.24935760622714
172,825nC-s-cQG6Hsul5Gm2cA,Bottled Water,43.836010375663115
173,825nC-s-cQG6Hsul5Gm2cA,Soda (24 oz),11.564882954873896
174,B-gmkfNy3SEvAZSxXtWACg,World Famous Fries,0.7308311786252963
175,B-gmkfNy3SEvAZSxXtWACg,Apple Slices,0.0
176,B-gmkfNy3SEvAZSxXtWACg,Side Salad,0.6574900793650794
177,B-gmkfNy3SEvAZSxXtWACg,Fruit 'N Yogurt Parfait,0.0
178,B-gmkfNy3SEvAZSxXtWACg,Fruit & Walnuts,0.0
179,B-gmkfNy3SEvAZSxXtWACg,Angus Chipotle BBQ Bacon Snack Wrap,0.0
180,B-gmkfNy3SEvAZSxXtWACg,Angus Bacon & Cheese Snack Wrap,0.0
181,B-gmkfNy3SEvAZSxXtWACg,Angus Deluxe Snack Wrap,0.0
182,B-gmkfNy3SEvAZSxXtWACg,Angus Mushroom & Swiss Snack Wrap,0.0
183,B-gmkfNy3SEvAZSxXtWACg,Chipotle BBQ Snack Wrap (Crispy),0.0
184,B-gmkfNy3SEvAZSxXtWACg,Chipotle BBQ Snack Wrap (Grilled),0.0
185,B-gmkfNy3SEvAZSxXtWACg,Honey Mustard Snack Wrap (Crispy),0.6686813186813187
186,B-gmkfNy3SEvAZSxXtWACg,Honey Mustard Snack Wrap (Grilled),0.6686813186813187
187,B-gmkfNy3SEvAZSxXtWACg,Ranch Snack Wrap (Crispy),0.0
188,B-gmkfNy3SEvAZSxXtWACg,Ranch Snack Wrap (Grilled),0.0
189,B-gmkfNy3SEvAZSxXtWACg,Mac Snack Wrap,0.0
190,B-gmkfNy3SEvAZSxXtWACg,Chicken McBites,-0.02713585434173671
191,B-gmkfNy3SEvAZSxXtWACg,Premium Bacon Ranch Salad,0.0
192,B-gmkfNy3SEvAZSxXtWACg,Premium Bacon Ranch Salad with Crispy Chicken,2.4554473803248316
193,B-gmkfNy3SEvAZSxXtWACg,Premium Bacon Ranch Salad with Grilled Chicken,2.4554473803248316
194,B-gmkfNy3SEvAZSxXtWACg,Premium Caesar Salad,0.0
195,B-gmkfNy3SEvAZSxXtWACg,Premium Caesar Salad with Crispy Chicken,2.4554473803248316
196,B-gmkfNy3SEvAZSxXtWACg,Premium Caesar Salad with Grilled Chicken,2.4554473803248316
197,B-gmkfNy3SEvAZSxXtWACg,Premium Southwest Salad,0.0
198,B-gmkfNy3SEvAZSxXtWACg,Premium Southwest Salad with Crispy Chicken,2.4554473803248316
199,B-gmkfNy3SEvAZSxXtWACg,Premium Southwest Salad with Grilled Chicken,2.4554473803248316
